device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,absolute_humidity_count,absolute_humidity_mean,absolute_humidity_std,absolute_humidity_min,absolute_humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P3,2025-09-02,6,120,31.744004083333333,0.0860387669756014,31.60851,31.92512,120,16.22416666666667,0.04302790443681744,16.14,16.32,120,497.80833333333334,2.178179925330984,492,503
P3,2025-09-02,7,120,31.982033249999997,0.16947452283759393,31.5216,32.21555,120,15.904583333333333,0.3365042630452438,14.66,16.16,120,495.89166666666665,9.90356512781613,484,521
P3,2025-09-02,8,120,30.954978416666666,0.2799217642109733,30.47297,31.52258,120,12.136166666666666,1.0257673359251485,10.97,14.61,120,552.3666666666667,24.628989318401597,519,611
P3,2025-09-02,9,120,30.088235666666666,0.4340092582227724,29.06555,30.50813,120,10.952666666666666,0.4610687863760755,9.84,12.23,120,714.4083333333333,68.31692038319852,612,845
P3,2025-09-02,10,120,30.663862583333334,0.803136816764646,28.94113,31.66477,120,11.928916666666668,0.6290098873430745,10.61,12.44,120,905.9583333333334,30.288915750930123,824,939
P3,2025-09-02,11,120,29.690009666666665,0.17997269692524112,29.07043,29.87902,120,11.108916666666666,0.10118454587994022,10.94,11.41,120,823.4083333333333,15.365297489693551,801,860
P3,2025-09-02,12,120,29.893861916666665,0.09965101192987617,29.63976,30.01769,120,11.44625,0.18419054118543898,11.16,11.71,120,907.775,21.5903271603456,857,938
P3,2025-09-02,13,120,30.759511666666665,0.33400559778264544,29.88469,31.10793,120,11.626833333333334,0.15937368662610324,11.17,11.81,120,1006.0583333333333,27.911112161159537,934,1038
P3,2025-09-02,14,120,31.1753855,0.052203532235841725,31.08527,31.29465,120,11.66025,0.0672192261912294,11.35,11.81,120,976.3416666666667,22.150932159125972,940,1024
P3,2025-09-02,15,120,30.09132775,1.267359548210151,27.71301,31.36164,120,11.187000000000001,0.5991879659066889,10.01,11.82,120,938.025,9.616567024907479,920,967
P3,2025-09-02,16,120,29.625809083333333,0.8070928755631975,27.66047,30.59836,120,11.733583333333334,0.5409636528173296,10.07,12.54,120,960.4833333333333,29.14351141683298,918,1012
P3,2025-09-02,17,120,29.69702475,1.2305468742457177,27.64133,30.93488,120,11.1145,0.5837474560432574,10.01,11.83,120,904.3083333333333,19.302891250904914,870,935
P3,2025-09-02,18,120,29.05833458333333,0.7779304888401328,27.61496,30.4343,120,11.843583333333333,0.6220132612725238,10.4,12.6,120,913.3166666666667,21.91004655531394,848,950
P3,2025-09-02,19,120,29.26759283333333,0.07233615917836418,29.07121,29.37199,120,11.372833333333334,0.12008528715240682,11.14,11.59,120,791.0166666666667,28.751319541025197,747,847
P3,2025-09-04,9,50,29.644523,0.04928624029740311,29.51887,29.72004,50,11.411200000000001,0.04269684307022398,11.31,11.48,50,708.42,10.00018367178261,686,726
P3,2025-09-04,10,120,29.72066841666667,0.03836069949230783,29.61887,29.82981,120,11.385916666666667,0.04778269848501336,11.31,11.52,120,743.6333333333333,8.441527335352593,717,760
P3,2025-09-04,11,120,29.818491416666667,0.02818581952588852,29.76008,29.87277,120,11.27425,0.11083080071241079,11.08,11.46,120,757.3083333333333,2.824847235650416,751,765
P3,2025-09-04,12,120,29.547128583333333,0.14681680740511713,29.30832,29.77902,120,11.104166666666666,0.13890679623119995,10.93,11.36,120,806.15,18.340225340660954,760,830
P3,2025-09-04,13,120,29.369075000000002,0.055610797437158646,29.2343,29.5257,120,11.070166666666667,0.06169841714234934,10.99,11.32,120,831.625,6.808376575707115,820,854
P3,2025-09-04,14,120,29.141297,0.930289243697259,27.4798,30.57922,120,11.845,0.792818607588025,10.32,12.78,120,918.9666666666667,46.625800433949124,843,978
P3,2025-09-04,15,120,29.224737416666667,0.5983552764379803,28.0468,30.6509,120,11.9445,0.5763575133485096,10.6,12.9,120,903.5333333333333,48.23000449236292,839,990
P3,2025-09-04,16,120,29.50120091666667,0.3566728836121359,28.66613,29.87043,120,11.57125,0.29917691710941186,10.93,12.09,120,981.0416666666666,176.08050087137644,827,1260
P3,2025-09-04,17,120,28.111360666666666,0.271112022565181,27.51867,28.69602,120,11.0145,0.3627274134533924,10.49,11.79,120,1215.375,53.645907610565615,1074,1274
P3,2025-09-04,18,120,29.265631499999998,0.49553917919819057,28.32512,29.78195,120,11.417666666666666,0.2085795631735529,11.17,11.95,120,871.4333333333333,126.63477115747601,756,1092
P3,2025-09-04,19,120,29.83746575,0.04096903784100332,29.75246,29.91613,120,11.933916666666667,0.04446310590945002,11.82,12.0,120,729.0,18.2254785184613,695,759
P3,2025-09-05,9,38,30.052502368421056,0.10356648138858697,29.90988,30.2173,38,11.853684210526316,0.05508818741439094,11.75,11.97,38,668.5263157894736,6.773305481138724,654,678
P3,2025-09-05,10,120,30.4033105,0.13470205763402615,30.16301,30.6468,120,12.175999999999998,0.08692119487010624,11.96,12.3,120,704.3916666666667,16.610362177046547,677,738
P3,2025-09-05,11,120,30.75124225,0.09903149335644287,30.56809,30.90227,120,12.047666666666666,0.2608349016875908,11.52,12.47,120,745.2833333333333,7.286667153595167,735,763
P3,2025-09-05,12,120,30.946011083333335,0.09582214237536518,30.79035,31.11477,120,11.328166666666666,0.10892124464498978,11.11,11.54,120,799.2833333333333,20.862166042594534,762,834
P3,2025-09-05,13,116,31.506986637931035,0.35605340265787666,30.35051,31.96867,116,11.219396551724138,0.06957371809006377,11.1,11.49,116,832.0775862068965,6.646543216713225,820,868
P3,2025-09-05,14,120,30.183924166666667,0.13099153218885073,29.99641,30.43645,120,11.412749999999999,0.14496573052004183,11.27,11.69,120,833.15,6.350610372305896,820,846
P3,2025-09-05,15,120,30.223883250000004,0.058763867480635154,30.03234,30.35656,120,11.360333333333333,0.11324052881785225,11.23,11.61,120,806.1416666666667,8.587949181758034,789,822
P3,2025-09-05,16,120,30.187724166666666,0.05950710713267707,30.02277,30.29699,120,11.100583333333333,0.0912959527054273,10.93,11.3,120,816.175,5.251110326765679,801,830
P3,2025-09-05,17,120,29.951762666666664,0.06876945295737236,29.83156,30.08371,120,10.904583333333333,0.09732468257094437,10.75,11.14,120,794.2166666666667,12.552533865422491,768,816
P3,2025-09-05,18,120,29.652644249999998,0.11742959561866978,29.45012,29.95559,120,10.789833333333332,0.13945261134996553,10.6,11.14,120,734.0333333333333,23.00527280931081,691,773
P3,2025-09-05,19,119,29.424991596638655,0.06753934672399452,29.27941,29.56594,119,10.59672268907563,0.06942999454025589,10.5,10.71,119,656.4621848739496,19.016847978839085,625,696
P3,2025-09-05,20,114,29.18321561403509,0.05011800835152993,29.07726,29.28898,114,10.468859649122807,0.06242530080349261,10.35,10.56,114,602.0526315789474,12.833751205499366,585,628
P3,2025-09-05,21,120,29.85143525,0.5728212573677508,29.03762,30.63605,120,10.9755,0.4477316310529971,10.38,11.79,120,567.0333333333333,10.615458312389109,547,589
P3,2025-09-05,22,120,30.887542166666666,0.13677471274825684,30.62297,31.08371,120,12.266166666666667,0.24647492358286918,11.79,12.7,120,537.625,5.921137893140086,524,548
P3,2025-09-05,23,120,31.167301416666664,0.05374574078564604,31.0218,31.28527,120,12.929833333333333,0.13666485617438565,12.69,13.19,120,522.7333333333333,3.9252111934475638,515,531
P3,2025-09-06,0,120,31.258781333333335,0.030982467390478514,31.17043,31.33371,120,13.436,0.12916278570115788,13.11,13.62,120,512.6666666666666,3.3789594473415043,504,524
P3,2025-09-06,1,120,31.2499525,0.022109369330327134,31.18937,31.30051,120,13.695083333333335,0.07455183559427417,13.54,13.85,120,507.14166666666665,1.9198031820224277,503,513
P3,2025-09-06,2,120,31.246530083333333,0.05713043980308468,31.1425,31.36047,120,13.7895,0.04070492299836038,13.71,13.89,120,504.05833333333334,2.9170487944955608,498,515
P3,2025-09-06,3,120,31.281635666666666,0.056331398557265246,31.17707,31.3759,120,13.835083333333333,0.058136261747488316,13.72,13.96,120,501.2416666666667,2.4597459503078705,487,507
P3,2025-09-06,4,120,31.2357585,0.05599156744208507,31.11867,31.34523,120,14.0235,0.03354790880030862,13.91,14.1,120,500.85833333333335,2.6387412116524276,493,514
P3,2025-09-06,5,120,31.25783691666667,0.05901486267427617,31.11106,31.37844,120,14.10825,0.035377020980368296,14.04,14.18,120,499.575,2.519378674904399,492,504
P3,2025-09-06,6,120,31.334388,0.08192208952577658,31.10656,31.49406,120,14.168416666666667,0.023869245827183916,14.12,14.23,120,499.28333333333336,3.4008978877021967,490,509
P3,2025-09-06,7,120,31.712947166666666,0.1287563613256476,31.47902,31.9259,120,14.14025,0.027331223871595957,14.09,14.26,120,486.7416666666667,4.78354292477503,470,498
P3,2025-09-06,8,120,32.08475741666667,0.08538458910303684,31.9216,32.25617,120,14.165083333333333,0.04031380757547607,14.11,14.27,120,480.4166666666667,2.7822466386974702,475,493
P3,2025-09-06,9,120,32.361474916666666,0.09700015881470113,32.21809,32.54133,120,14.358166666666667,0.05159609348337412,14.26,14.47,120,475.84166666666664,2.967600488789629,462,484
P3,2025-09-06,10,120,32.699504000000005,0.11208352226664238,32.5343,32.89445,120,14.592166666666666,0.07059391900553334,14.46,14.73,120,469.76666666666665,3.099832831853012,459,477
