device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,humidity_count,humidity_mean,humidity_std,humidity_min,humidity_max,pressure_count,pressure_mean,pressure_std,pressure_min,pressure_max,gas_resistance_count,gas_resistance_mean,gas_resistance_std,gas_resistance_min,gas_resistance_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,2025-09-18,9,119,24.412941176470586,0.4770839263501336,23.63,25.43,119,60.73638655462185,0.6405423166963378,59.59,62.32,119,1017.1482352941176,0.08833341171457683,1016.98,1017.27,119,200662.8655462185,4719.308623100855,185484,209294,0,,,,
P1,2025-09-18,10,119,25.643025210084033,1.0632294541821212,23.26,26.37,119,54.56983193277311,3.1564499430056623,51.09,59.65,119,1017.063025210084,0.07991048616895277,1016.88,1017.23,119,204444.61344537814,7698.307255174517,189977,216874,0,,,,
P1,2025-09-18,11,119,26.341008403361343,0.19877759890664445,26.11,26.7,119,53.150084033613446,1.1860177606055162,50.86,55.28,119,1016.5431932773109,0.19449165714795152,1016.17,1016.88,119,210224.29411764705,5342.560600376325,202101,219915,0,,,,
P1,2025-09-18,12,120,26.030250000000002,0.07122532006588803,25.93,26.17,120,52.645583333333335,0.24352383567819397,52.17,53.19,120,1015.9768333333334,0.09354802238948498,1015.82,1016.18,120,218735.95,4154.972846941767,209827,223800,0,,,,
P1,2025-09-18,13,119,25.855378151260503,0.08031495117967846,25.71,26.02,119,53.657394957983186,0.2455483734484436,52.94,54.14,119,1015.6474789915967,0.10386773277020628,1015.46,1015.85,119,225273.3781512605,1628.5173614265568,222140,228299,0,,,,
P1,2025-09-18,14,119,26.12,0.08028550748337937,25.96,26.26,119,52.9344537815126,0.2802834445457436,52.38,53.58,119,1015.2747058823529,0.1425780994986561,1015.06,1015.56,119,202478.72268907563,20266.278400808,103844,223043,0,,,,
P1,2025-09-18,15,119,26.074201680672267,0.09432629805958775,25.87,26.24,119,53.48352941176471,0.5790005828797298,52.36,54.59,119,1015.2926050420168,0.12648750313352317,1015.06,1015.49,119,197256.56302521008,11017.698803565052,157425,210498,0,,,,
P1,2025-09-18,16,120,26.202416666666668,0.1443617994195589,25.83,26.4,120,54.746583333333334,0.5295526823814305,53.69,55.62,120,1015.7936666666667,0.2523300937077908,1015.43,1016.16,120,204585.40833333333,5482.79293591153,193550,212125,0,,,,
P1,2025-09-18,17,119,26.319327731092436,0.08252098954808215,26.18,26.45,119,54.338655462184875,0.509966639603071,53.22,55.39,119,1016.3110924369748,0.141210204629343,1016.12,1016.56,119,208194.90756302522,7235.711691176169,176874,215879,0,,,,
P1,2025-09-18,18,119,26.406722689075632,0.08209243698207887,26.23,26.57,119,53.68798319327731,0.2694331143437453,53.05,54.29,119,1016.6076470588235,0.07876919601770364,1016.47,1016.7,119,194023.82352941178,6430.038136332889,175577,208103,0,,,,
P1,2025-09-18,19,119,26.430252100840335,0.0585482878337271,26.28,26.51,119,54.464705882352945,1.0916973439226776,53.03,56.42,119,1016.6663025210083,0.13308507248769544,1016.48,1016.9,119,207820.5462184874,3893.8090969977748,195619,214055,0,,,,
P1,2025-09-18,20,120,26.345833333333335,0.41919607600746256,25.8,27.05,120,57.00375,1.6316275642447802,54.44,60.34,120,1016.8151666666666,0.10472038265509544,1016.63,1017.02,120,201284.53333333333,14370.875084863916,178381,216446,0,,,,
P1,2025-09-18,21,119,27.360672268907564,0.17646592359594748,27.05,27.64,119,61.621512605042014,0.6504765380355123,60.27,62.47,119,1017.0805042016807,0.0446046425245918,1016.97,1017.14,119,173585.88235294117,1795.7035690992484,170570,178571,0,,,,
