device_id,date,is_daytime,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,humidity_count,humidity_mean,humidity_std,humidity_min,humidity_max,pressure_count,pressure_mean,pressure_std,pressure_min,pressure_max,gas_resistance_count,gas_resistance_mean,gas_resistance_std,gas_resistance_min,gas_resistance_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P3,2025-09-15,0,180,30.54436082,0.27858486998415616,30.004022,31.292108,180,62.85710518555556,0.4132817361295323,62.03877,63.79906,180,1014.5036510000001,0.0901861618111755,1014.3413,1014.73224,180,6070.5,266.5458862882836,5674,6619,0,,,,
P3,2025-09-16,0,1440,29.518409524305557,2.5174188398125916,25.23664,32.523556,1440,60.996020635972215,2.900671328753111,50.908356,65.390368,1440,1012.3472829305556,1.0923961574951406,1010.4727,1014.36992,1440,6561.136805555556,333.4079842796984,5800,7221,0,,,,
P3,2025-09-16,1,1440,27.924952289305555,2.457637241318602,25.36418,32.73957,1440,52.90097220277778,4.897459456270527,43.45415,61.571148,1440,1012.1450129583334,1.4301556539406135,1010.2007,1014.2006,1440,5862.890277777778,843.6240820675175,3717,7311,0,,,,
P3,2025-09-17,0,1440,29.18627583402778,2.4326451492426737,25.011836,32.1634,1440,62.28109831180556,2.2611463420972306,54.626764,66.64482,1440,1012.9866178194444,1.821035687168453,1010.97016,1015.68616,1440,6588.444444444444,541.6319801441845,2375,7206,0,,,,
P3,2025-09-17,1,1440,28.4192116325,2.438972679294181,25.1284368,32.492696,1440,56.504508998055556,3.4251270125217403,45.066308,61.84668,1440,1011.5738117916667,0.5879433928594344,1009.7199,1012.61348,1440,5909.134722222222,890.3408775818289,3275,7079,0,,,,
P3,2025-09-18,0,1440,29.499724980694445,1.1936221247262457,25.352656,31.243868,1440,58.08073637125,3.7534206667330916,50.95005,64.5302,1440,1016.1833314861111,1.1999318293968797,1013.7263,1017.67096,1440,6989.417361111111,419.78352918278983,5134,7565,0,,,,
P3,2025-09-18,1,1440,27.577631341527777,2.1136941905749382,25.572578,31.463398,1440,55.3943138925,3.309381775893477,41.505256,60.686536,1440,1016.6811480694444,0.6020244289013962,1015.5846,1017.8313,1440,6609.052777777778,949.0616125405734,3837,8140,0,,,,
P3,2025-09-19,0,1440,29.7461941675,0.4987768835645931,28.531758,30.99211,1440,57.31062047472223,3.043169085493958,51.653132,64.85153,1440,1013.7479359305556,2.2429890022723433,1011.028,1016.65184,1440,6834.857638888889,578.9018730383785,6075,7554,0,,,,
P3,2025-09-19,1,1440,29.516854588749997,0.5257034260665165,28.412226,30.840936,1440,52.48706380694445,2.9360083797492713,49.190436,58.609128,1440,1013.8016035833333,1.7848476522171004,1011.2961,1016.18776,1440,6799.345138888889,721.8511535521872,4506,7446,0,,,,
P3,2025-09-20,0,1440,30.186828510138888,0.5167577906508584,29.518086,31.274922,1440,57.43077364611111,4.938449516226072,49.122628,65.01539,1440,1013.6649513055556,2.290777819412075,1010.85,1016.456,1440,6858.455555555555,631.8323437443655,6092,7664,0,,,,
P3,2025-09-20,1,1440,30.203895697222222,0.22650186749437332,29.706758,30.8966,1440,57.92668791347222,1.511934996881768,54.88559,63.457528,1440,1014.0241766388889,0.5106227002031825,1012.68332,1014.8788,1440,6945.070833333333,202.3270575173128,6370,7256,0,,,,
P3,2025-09-21,0,1440,29.40280251777778,0.2942039706229913,28.23332,30.034102,1440,50.05052391416667,0.748996007671464,47.50932,51.817476,1440,1016.4185587083334,0.5636636593976357,1015.5264,1017.36916,1440,7138.0625,383.13594150107025,6082,7565,0,,,,
P3,2025-09-21,1,1440,28.643327674305556,0.5214425718666846,27.657734,29.971992,1440,47.217790861111105,1.2336453838157664,44.60676,49.99559,1440,1016.2449415138889,0.7829339217531865,1015.04016,1017.3979,1440,6740.0125,514.8843260358188,5934,7554,0,,,,
P3,2025-09-22,0,722,29.396505250138507,0.27170357771728015,25.269454,29.8860536,722,52.28994725207756,1.4076394792161524,50.081492,63.34882,722,1016.2257778116344,0.41921819285212436,1014.74136,1017.2106,722,7130.412742382271,77.25190707483566,6160,7246,0,,,,
P3,2025-09-22,1,1441,26.92499079208883,1.692214738103471,24.807734,30.064374,1441,55.47759543733518,3.6154727153294584,44.509764,64.48775,1441,1015.4935095211658,1.0730123071588464,1013.9387,1017.0299,1441,6109.681471200555,1061.2504498085964,2598,7337,0,,,,
P4,2025-09-15,0,180,30.728116293333333,0.2444753289571137,30.316522,31.421992,180,68.59769088666667,0.48757755737407177,67.50069,69.76586,180,1014.0759642222222,0.09168270475297424,1013.9071,1014.3157,180,8039.183333333333,46.79605997357366,7924,8114,0,,,,
P4,2025-09-16,0,1440,29.52503759125,2.519503335187473,24.962226,32.163788,1440,65.14907407958333,4.094061011487687,54.611236,69.87988,1440,1011.9145351527778,1.0946583688099,1010.03,1013.9394,1440,8456.320833333333,317.6578263347046,7996,9190,0,,,,
P4,2025-09-16,1,1440,27.461261888888888,2.3463888951732863,25.201876,32.379808,1440,58.47055530944444,3.409685989814654,53.53125,66.353968,1440,1011.7520014166668,1.4286817078649554,1009.8142,1013.8002,1440,7952.645833333333,505.2276565788969,6287,8762,0,,,,
P4,2025-09-17,0,1441,29.43744125079806,2.6316686109855323,24.876874,32.28078,1441,64.6296197128383,3.6441598450497494,56.487848,69.021932,1441,1012.5149709229701,1.80148706086103,1010.497,1015.2056,1441,8404.648854961832,447.7329873936302,5653,9231,0,,,,
P4,2025-09-17,1,1440,28.137703315694445,2.5765810379714127,24.81203,32.556952,1440,57.191577798750004,4.429493597305962,51.208212,65.54964,1440,1011.1212309166666,0.5968175767106185,1009.33016,1012.13024,1440,7870.0569444444445,704.1982164819002,5727,8821,0,,,,
P4,2025-09-18,0,1440,29.76456646333333,1.4498786291055592,26.777266,31.496406,1440,59.748856141805554,4.462120079541934,51.146152,66.76694,1440,1015.69389725,1.1979156508199373,1013.2347,1017.178,1440,8909.421527777778,554.8471551912244,7303,10187,0,,,,
P4,2025-09-18,1,1440,27.894886533333334,1.940188183457586,25.572188,31.659492,1440,55.79456681013888,3.7289272224102556,48.318688,63.684176,1440,1016.2107241805555,0.6181449747530563,1015.10424,1017.3911,1440,8413.820833333333,1040.2707316454396,4630,9881,0,,,,
P4,2025-09-19,0,1440,29.302009478472222,1.5079656464869018,26.501484,30.987032,1440,59.46417553555556,3.899790988103396,54.819756,67.192952,1440,1013.2868825555556,2.2036699246276927,1010.5652,1016.17864,1440,8799.899305555555,448.5261528584297,7936,9429,0,,,,
P4,2025-09-19,1,1440,28.099288496249997,1.598688234359682,26.610274,31.15578,1440,56.411572693888886,1.3937484799985569,52.443628,58.790964,1440,1013.3512764722223,1.740026505479968,1010.9098,1015.6656,1440,8631.584027777777,654.1308201232048,6798,9575,0,,,,
P4,2025-09-20,0,1440,30.240991802222222,0.4211868798486705,29.540156,31.167696,1440,58.383547739722225,5.192364699407233,50.54876,67.13005,1440,1013.1806036805556,2.2801610844842815,1010.3834,1015.9821,1440,8659.954861111111,544.6919614937362,8015,9396,0,,,,
P4,2025-09-20,1,1440,30.38755253472222,0.23570318860346462,30.015156,31.101094,1440,57.02838512833333,1.378457061521142,53.72616,60.485928,1440,1013.521803875,0.5024189113087947,1012.18664,1014.35848,1440,8785.253472222223,211.0124350113578,8234,9095,0,,,,
P4,2025-09-21,0,1440,29.324108951527776,0.5605670098675888,26.467696,30.231172,1440,52.067040079166674,0.5327552467556806,50.222176,53.392648,1440,1015.965409375,0.5740678514304186,1015.06744,1016.9236,1440,8974.774305555555,324.6530897207927,7972,9312,0,,,,
P4,2025-09-21,1,1440,27.50258387138889,0.9149494587024259,24.988204,30.074532,1440,51.035244711388884,1.7527086500723212,47.96899,59.62454,1440,1015.8200232916666,0.7645825639755092,1014.6344,1016.92976,1440,8357.330555555556,572.9995486341448,7522,9619,0,,,,
P4,2025-09-22,0,723,29.404309447856157,0.2561754724473288,26.672382,29.951094,723,54.09044840055325,1.2811079194990527,51.802764,56.202804,723,1015.7730671922545,0.4270549874057262,1014.20952,1016.7595,723,8980.991701244813,168.00326450382929,7517,9198,0,,,,
P4,2025-09-22,1,1441,27.488250767106177,1.1398287084643737,26.440156,30.234492,1441,53.85383736044414,1.2521218556005456,49.923392,56.73102,1441,1015.007912907703,1.0877612815757722,1013.48192,1016.5418,1441,8093.466342817488,731.6045582113157,6220,9025,0,,,,
